date,portfolio_id,p05,p25,median,p75,p95
2026-10-12 00:38:51.428571429,Balanced,357966.1395678007,377454.2983382755,388536.3592113079,399122.43987911765,414457.3231537704
2026-10-13 11:25:42.857142857,Balanced,357301.9613592354,377504.3357422763,388859.4928513566,399741.4474096429,415386.8626070845
2026-10-14 22:12:34.285714286,Balanced,357054.4772707094,377446.64640579943,389052.8555914373,400200.0462976011,416119.18671601097
2026-10-16 08:59:25.714285714,Balanced,356875.5493378192,377353.69788681855,389375.97425360454,400822.84311788966,416962.1108691594
2026-10-17 19:46:17.142857143,Balanced,356766.2408745891,377248.2160978272,389561.1418100863,401155.5281738447,417957.3427512523
2026-10-19 06:33:08.571428571,Balanced,357012.95124971017,377337.6581625918,389777.3922078298,401498.7937331,419117.8453656486
2026-10-20 17:20:00.000000000,Balanced,356176.33947203605,377577.5249934111,390080.0388106679,401998.4271064727,419695.7463370017
2026-10-22 04:06:51.428571429,Balanced,355968.075852008,377386.1368207848,390342.6485558194,402645.50768578827,421044.4481946078
2026-10-23 14:53:42.857142857,Balanced,354831.97930904775,377433.7808577921,390525.2498749555,403001.7134528455,421758.26664115576
2026-10-25 01:40:34.285714286,Balanced,355455.19843112235,377235.3316422341,390725.32981576247,403411.58454457414,422366.19716493087
2026-10-26 12:27:25.714285715,Balanced,354640.04140711646,377253.25093048636,390952.3781589889,403942.63688554656,422844.29591059533
2026-10-27 23:14:17.142857143,Balanced,354457.71047154686,377230.24253112683,391280.69623881317,404050.4813268158,423606.4898124114
2026-10-29 10:01:08.571428572,Balanced,354489.7685417624,377440.638518362,391343.00644010585,404818.02102272183,424677.34538418596
2026-10-30 20:48:00.000000000,Balanced,354469.00894306775,377558.70086430735,391572.6329663367,405688.3600556897,426068.7303581165
2026-11-01 07:34:51.428571429,Balanced,353814.04175943154,377853.27498921414,391768.7965452844,405903.3945688376,427014.6268817655
2026-11-02 18:21:42.857142857,Balanced,353858.30177551863,377909.12672545284,392068.5305123235,406201.7910701693,428018.6107658222
2026-11-04 05:08:34.285714286,Balanced,353855.5967751671,377716.5561247623,392504.0694046816,406557.1685625899,428968.2865355453
2026-11-05 15:55:25.714285715,Balanced,353466.34102525254,378020.28654810716,392887.310334184,407181.0732736178,428834.4796314196
2026-11-07 02:42:17.142857143,Balanced,352944.4537163923,378181.8020692036,393233.0726472127,407640.3862643892,429422.2717026387
2026-11-08 13:29:08.571428572,Balanced,353110.9863566558,378546.38058265066,393379.0257793382,408056.89568061556,430910.14548595547
2026-11-10 00:16:00.000000000,Balanced,352735.95245367405,378544.77229656256,393956.23750020174,408427.9839675132,431840.1382366192
2026-11-11 11:02:51.428571429,Balanced,352342.1071782685,378741.45934331865,394132.83563873376,408688.2404819076,432428.5055986049
2026-11-12 21:49:42.857142857,Balanced,351921.21722930775,378563.91127618134,394630.6576852944,409293.9759562179,433093.6386305816
2026-11-14 08:36:34.285714286,Balanced,352050.92928330024,378824.12959974824,395015.9640712079,409794.9799762764,433625.06513937964
2026-11-15 19:23:25.714285715,Balanced,351326.2823559067,378412.9215463507,395332.72095108114,409991.1025636911,434560.05097318615
2026-11-17 06:10:17.142857143,Balanced,351757.6307579963,378760.6538473851,395395.60976563266,410525.2854141453,435281.7226317034
2026-11-18 16:57:08.571428572,Balanced,352051.61401768716,378630.6881641707,395944.8147848591,410942.54270096094,436038.92787797225
2026-11-20 03:44:00.000000000,Balanced,351933.10851886653,378650.0672656828,396424.13027390616,411226.9702354517,437360.5627988427
2026-11-21 14:30:51.428571429,Balanced,351606.4806149894,378956.72467262467,396391.70854050654,411623.0134248199,437876.3640804837
2026-11-23 01:17:42.857142858,Balanced,351554.1593779652,379346.9628762785,396539.4655525238,412199.8009690824,438358.0293277134
2026-11-24 12:04:34.285714286,Balanced,351403.1302070427,379461.14361738093,397025.0967442356,412972.789064194,439231.3583615034
2026-11-25 22:51:25.714285715,Balanced,351673.9687676638,379309.4364780792,397345.28642575303,413199.87692550407,439677.821616259
2026-11-27 09:38:17.142857143,Balanced,351946.83314340335,379602.1504215447,397747.8702016325,413756.78437769465,440356.125832423
2026-11-28 20:25:08.571428572,Balanced,351723.9388111952,379724.0659101704,397968.54957054625,414136.1705071003,441005.97799241974
2026-11-30 07:12:00.000000000,Balanced,351580.28063706576,379811.13321976823,398203.7149402642,414791.12988498446,441708.4201519264
2026-12-01 17:58:51.428571429,Balanced,351006.0788438039,380035.5846382318,398465.1559954056,415173.4153454539,442320.2598855513
2026-12-03 04:45:42.857142858,Balanced,350849.16252427566,380361.97277159744,398933.6168278184,415479.1298499883,443279.03101796
2026-12-04 15:32:34.285714286,Balanced,350608.0188329023,380449.64233204746,399206.3486809945,415961.038935619,443443.8900963973
2026-12-06 02:19:25.714285715,Balanced,351083.2052586782,380863.94568261696,399595.21878605615,416521.18610148155,443965.96173680725
2026-12-07 13:06:17.142857143,Balanced,351054.33077683527,380986.910465683,399688.0600256757,416844.3172742204,444233.61547646514
2026-12-08 23:53:08.571428572,Balanced,351409.0680227179,381090.2111125798,399969.89699844643,417508.6370116639,445554.41105241294
2026-12-10 10:40:00.000000000,Balanced,351904.6346714897,381241.47848342377,400366.2291541848,417700.46759583824,446076.32571517595
2026-12-11 21:26:51.428571429,Balanced,351506.00065020786,381568.95910308074,400669.64947750897,418165.93663183355,446155.67825787124
