date,ticker,adjusted_price,volume
2018-01-02,RY.TO,74.05504608154297,1397500
2018-01-03,RY.TO,74.73123168945312,1998200
2018-01-04,RY.TO,75.4505386352539,2218100
2018-01-05,RY.TO,75.3426513671875,1451800
2018-01-08,RY.TO,75.03336334228516,1372900
2018-01-09,RY.TO,75.41458892822266,1510700
2018-01-10,RY.TO,75.53687286376953,2956100
2018-01-11,RY.TO,75.58721923828125,1529400
2018-01-12,RY.TO,75.64479064941406,1880800
2018-01-15,RY.TO,75.71670532226562,1073100
2018-01-16,RY.TO,76.08354949951172,3115800
2018-01-17,RY.TO,76.45040130615234,2821500
2018-01-18,RY.TO,76.90361022949219,2507200
2018-01-19,RY.TO,77.48624420166016,3120800
2018-01-22,RY.TO,77.7236328125,3140900
2018-01-23,RY.TO,77.22731018066406,4368700
2018-01-24,RY.TO,76.90811920166016,3862300
2018-01-25,RY.TO,76.55260467529297,2696500
2018-01-26,RY.TO,76.69770050048828,2066200
2018-01-29,RY.TO,76.27691650390625,2834900
2018-01-30,RY.TO,76.5018310546875,3629600
2018-01-31,RY.TO,76.40752410888672,2403600
2018-02-01,RY.TO,75.93595886230469,3205500
2018-02-02,RY.TO,75.12342071533203,1812100
2018-02-05,RY.TO,73.37500762939453,3765900
2018-02-06,RY.TO,73.52734375,3887400
2018-02-07,RY.TO,73.32422637939453,2592400
2018-02-08,RY.TO,71.99658203125,4807600
2018-02-09,RY.TO,71.88053131103516,3218100
2018-02-12,RY.TO,72.34483337402344,4343600
2018-02-13,RY.TO,72.41011810302734,3976200
2018-02-14,RY.TO,72.91793823242188,2222200
2018-02-15,RY.TO,72.98323059082031,1497500
2018-02-16,RY.TO,72.89618682861328,1312100
2018-02-20,RY.TO,72.9034423828125,1816800
2018-02-21,RY.TO,74.36166381835938,2167200
2018-02-22,RY.TO,74.11498260498047,2493700
2018-02-23,RY.TO,74.4051742553711,2413100
2018-02-26,RY.TO,74.28186798095703,2430800
2018-02-27,RY.TO,74.63734436035156,2698500
2018-02-28,RY.TO,73.33871459960938,2672600
2018-03-01,RY.TO,72.96148681640625,1967100
2018-03-02,RY.TO,72.482666015625,1668700
2018-03-05,RY.TO,73.20814514160156,1729200
2018-03-06,RY.TO,73.09933471679688,2195300
2018-03-07,RY.TO,72.9542236328125,1626400
2018-03-08,RY.TO,73.65068817138672,2732800
2018-03-09,RY.TO,73.8248062133789,1486300
2018-03-12,RY.TO,73.861083984375,4717100
2018-03-13,RY.TO,73.861083984375,2862000
2018-03-14,RY.TO,73.66516876220703,1856200
2018-03-15,RY.TO,74.13677978515625,1462100
2018-03-16,RY.TO,74.23107147216797,9837600
2018-03-19,RY.TO,74.02794647216797,1750100
2018-03-20,RY.TO,74.44873046875,1496000
2018-03-21,RY.TO,74.19479370117188,1842800
2018-03-22,RY.TO,73.01226806640625,2703200
2018-03-23,RY.TO,71.97482299804688,2526200
2018-03-26,RY.TO,72.4463882446289,2636600
2018-03-27,RY.TO,71.73540496826172,2412200
2018-03-28,RY.TO,71.59758758544922,2176100
2018-03-29,RY.TO,72.1997299194336,2365000
2018-04-02,RY.TO,71.6266098022461,1706100
2018-04-03,RY.TO,71.2420883178711,1955200
2018-04-04,RY.TO,70.79953002929688,2503100
2018-04-05,RY.TO,71.34365844726562,1690300
2018-04-06,RY.TO,70.58916473388672,2525800
2018-04-09,RY.TO,71.12602233886719,2082900
2018-04-10,RY.TO,71.1332778930664,1470800
2018-04-11,RY.TO,70.40054321289062,1852100
2018-04-12,RY.TO,70.1973876953125,1627100
2018-04-13,RY.TO,69.68956756591797,1916500
2018-04-16,RY.TO,69.92898559570312,1233900
2018-04-17,RY.TO,69.80563354492188,1410500
2018-04-18,RY.TO,70.37150573730469,1817600
2018-04-19,RY.TO,70.10306549072266,1494800
2018-04-20,RY.TO,70.57465362548828,1434900
2018-04-23,RY.TO,71.08248138427734,1653600
2018-04-24,RY.TO,70.72354888916016,1621000
2018-04-25,RY.TO,70.76750183105469,2001900
2018-04-26,RY.TO,71.18504333496094,3504800
2018-04-27,RY.TO,71.89556121826172,1207400
2018-04-30,RY.TO,71.52201080322266,1893400
2018-05-01,RY.TO,71.54397583007812,1095300
2018-05-02,RY.TO,71.57328796386719,1079500
2018-05-03,RY.TO,71.53665924072266,2232000
2018-05-04,RY.TO,71.6611557006836,1667500
2018-05-07,RY.TO,72.34239196777344,1877400
2018-05-08,RY.TO,72.43030548095703,1916300
2018-05-09,RY.TO,72.97969055175781,2031700
2018-05-10,RY.TO,73.22140502929688,2846600
2018-05-11,RY.TO,73.52906799316406,2198000
2018-05-14,RY.TO,73.97586822509766,2308600
2018-05-15,RY.TO,74.01251983642578,1834100
